method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
bald_2step_fast,32,777 778 779 780 781,,,,,,,0d5f51c6f516,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 75, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 781, ""top_k"": 2}",2500.0,0.05604703906001523,0.05485378311443841,0.05746905838336097,0.04901404120028019,0.04059035889804363,13.072888787460327,66.08702873328521,124.29366997858742,0.26952641129674804,0.3702261489699595,66.80335145228568,125.02154763508588,,,777:0.056522275;778:0.056097483;779:0.055323135;780:0.05366881;781:0.058623491
bald_2step_fast,64,777 778 779 780 781,,,,,,,ec33be618966,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 75, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 781, ""top_k"": 2}",2500.0,0.05474225930562243,0.05333254296093714,0.05599888358312193,0.04764978401362896,0.04351351596415043,15.814818827056884,69.52473888212374,124.13094781575492,0.275437173839762,0.37275808800477533,70.24427200300593,124.86631628143368,,,777:0.056403992;778:0.05322664;779:0.052046985;780:0.053110941;781:0.058922738
bald_2step_fast,128,777 778 779 780 781,,,,,,,cebd2adb7b6f,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 75, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 781, ""top_k"": 2}",2500.0,0.05563881896007806,0.05418858518414432,0.05704684011570643,0.04852021858096123,0.04640535218641162,18.38455100479126,74.24692932764431,125.40161259507295,0.28393110141106365,0.37772775813937187,74.98168038355911,126.15787223704392,,,777:0.055810765;778:0.05416814;779:0.052333729;780:0.054883462;781:0.060997998
bald_2step_fast,256,777 778 779 780 781,,,,,,,0adb372711db,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 75, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 781, ""top_k"": 2}",2500.0,0.05443794497600757,0.0529000085801509,0.05591566194160608,0.045685915276408195,0.05014372197911143,21.643711287689207,79.1053208836445,125.43511601729551,0.28974779446790405,0.3747382185421884,79.8460296827097,126.1955556138535,,,777:0.057731892;778:0.050745339;779:0.053932496;780:0.051661063;781:0.058118935
bald_2step_fast,512,777 778 779 780 781,,,,,,,f3d77431b7a2,cpu,cpu:x86_64,,,,runs/main_result/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 75, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 781, ""top_k"": 2}",2500.0,0.053976119970623404,0.05245594208723516,0.05554539051127969,0.04480132460594177,0.050844163633883,25.6621808555603,85.43045059707688,125.7627354360302,0.30189966082236624,0.37891621282324195,86.18589165219261,126.53627939694562,,,777:0.055862125;778:0.049875562;779:0.05691032;780:0.051773746;781:0.055458846
symqnet,32,777 778 779 780 781,777,runs/main_result/symqnet_seed_777/best_agent.pt,9679e608f165,heldout_validation_mse,0.051880874612834305,runs/main_result/validation_task_bank.npz,2133924d1237,cpu,cpu:x86_64,10847.039726390038,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07250111610367894,0.0715547997775022,0.07349306595387868,0.07058729603886604,0.035012356005609035,3.73785368270874,1.5394808357943677,1.6372069619596004,6.437321591021545,37.362733131821734,8.520907037800903,39.48165456618881,,,777:0.073498196;778:0.073799247;779:0.070899252;780:0.07152707;781:0.072781815
symqnet,64,777 778 779 780 781,777,runs/main_result/symqnet_seed_777/best_agent.pt,9679e608f165,heldout_validation_mse,0.051880874612834305,runs/main_result/validation_task_bank.npz,08036af82a3a,cpu,cpu:x86_64,10847.039726390038,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07179725358821451,0.07081924025270156,0.07273452635851689,0.07051535323262215,0.03470815811306238,4.568391991043091,1.5585024899427986,1.6532657549483702,6.9688939437399515,37.690792606282045,9.078366821160953,39.840954569994935,,,777:0.070257307;778:0.072498458;779:0.071266106;780:0.072225814;781:0.072738584
symqnet,128,777 778 779 780 781,777,runs/main_result/symqnet_seed_777/best_agent.pt,9679e608f165,heldout_validation_mse,0.051880874612834305,runs/main_result/validation_task_bank.npz,95012ddc6c51,cpu,cpu:x86_64,10847.039726390038,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07212451411001385,0.07107929806471802,0.07312646879020147,0.0698840580880642,0.03707511443644762,5.561116260910034,1.5582873480860142,1.7010322941001506,7.438665378246353,37.762145679630336,9.5500628603687,39.93657165693585,,,777:0.07216008;778:0.072149839;779:0.071561204;780:0.071786328;781:0.072965119
symqnet,256,777 778 779 780 781,777,runs/main_result/symqnet_seed_777/best_agent.pt,9679e608f165,heldout_validation_mse,0.051880874612834305,runs/main_result/validation_task_bank.npz,2e96c06dd8ba,cpu,cpu:x86_64,10847.039726390038,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.07224854622595012,0.0711253715023212,0.07338347636747174,0.07040174677968025,0.037677644751966,7.056085406494141,1.5452242853702045,1.7808241297723726,8.23189350614945,37.00957663210575,10.322001942912014,39.2022615090129,,,777:0.072588865;778:0.072529587;779:0.070266721;780:0.072318894;781:0.073538664
symqnet,512,777 778 779 780 781,777,runs/main_result/symqnet_seed_777/best_agent.pt,9679e608f165,heldout_validation_mse,0.051880874612834305,runs/main_result/validation_task_bank.npz,6e5f82f77e62,cpu,cpu:x86_64,10847.039726390038,info_gain,,runs/main_result/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",2500.0,0.0728157901685685,0.07160540215968154,0.0738941598228179,0.06997843459248543,0.039210046641528606,9.102112282180785,1.626553777962302,1.8798314105952159,9.92277243816449,37.93105652244994,12.133085031947122,40.27408264480764,,,777:0.072732274;778:0.072702557;779:0.071638769;780:0.072552331;781:0.07445302
