method,shots,horizon,shot_time_us,decision_ms_mean,smc_update_ms_mean,quantum_ms_per_step,classical_ms_per_step,total_episode_time_ms
symqnet,32,36,10000.0,1.5579250448719704,7.977667835041777,320.0,9.535592879913748,11863.281343676894
symqnet,64,36,100.0,1.5477786317842805,8.518047789332922,6.4,10.065826421117203,592.7697511602194
symqnet,64,36,1000.0,1.5477786317842805,8.518047789332922,64.0,10.065826421117203,2666.3697511602195
symqnet,64,36,10000.0,1.5477786317842805,8.518047789332922,640.0,10.065826421117203,23402.36975116022
symqnet,128,36,100.0,1.489217756899436,8.782933520210081,12.8,10.272151277109517,830.5974459759427
symqnet,128,36,1000.0,1.489217756899436,8.782933520210081,128.0,10.272151277109517,4977.797445975943
symqnet,128,36,10000.0,1.489217756899436,8.782933520210081,1280.0,10.272151277109517,46449.79744597594
symqnet,256,36,100.0,1.4888289345906944,8.941466372048794,25.6,10.430295306639488,1297.0906310390214
symqnet,256,36,1000.0,1.4888289345906944,8.941466372048794,256.0,10.430295306639488,9591.490631039022
symqnet,256,36,10000.0,1.4888289345906944,8.941466372048794,2560.0,10.430295306639488,92535.49063103902
symqnet,512,36,100.0,1.4889829941132726,9.274741124599759,51.2,10.763724118713032,2230.694068273669
symqnet,512,36,1000.0,1.4889829941132726,9.274741124599759,512.0,10.763724118713032,18819.49406827367
symqnet,512,36,10000.0,1.4889829941132726,9.274741124599759,5120.0,10.763724118713032,184707.49406827366
dad_transformer,32,36,100.0,0.8003234889267737,27.65160318393674,3.2,28.451926672863515,1139.4693602230866
dad_transformer,32,36,1000.0,0.8003234889267737,27.65160318393674,32.0,28.451926672863515,2176.269360223086
dad_transformer,32,36,10000.0,0.8003234889267737,27.65160318393674,320.0,28.451926672863515,12544.269360223087
dad_transformer,64,36,100.0,0.7469040247301261,27.001438949050172,6.4,27.748342973780296,1229.3403470560909
dad_transformer,64,36,1000.0,0.7469040247301261,27.001438949050172,64.0,27.748342973780296,3302.9403470560906
dad_transformer,64,36,10000.0,0.7469040247301261,27.001438949050172,640.0,27.748342973780296,24038.940347056094
dad_transformer,128,36,100.0,1.1099952801932684,31.51511889457599,12.8,32.62511417476926,1635.3041102916934
dad_transformer,128,36,1000.0,1.1099952801932684,31.51511889457599,128.0,32.62511417476926,5782.504110291693
dad_transformer,128,36,10000.0,1.1099952801932684,31.51511889457599,1280.0,32.62511417476926,47254.504110291695
dad_transformer,256,36,100.0,1.1767500401086484,33.39882806375261,25.6,34.57557810386126,2166.320811739005
dad_transformer,256,36,1000.0,1.1767500401086484,33.39882806375261,256.0,34.57557810386126,10460.720811739004
dad_transformer,256,36,10000.0,1.1767500401086484,33.39882806375261,2560.0,34.57557810386126,93404.72081173901
dad_transformer,512,36,100.0,1.1537822790262806,33.10620752816968,51.2,34.259989807195964,3076.5596330590547
dad_transformer,512,36,1000.0,1.1537822790262806,33.10620752816968,512.0,34.259989807195964,19665.35963305905
dad_transformer,512,36,10000.0,1.1537822790262806,33.10620752816968,5120.0,34.259989807195964,185553.35963305904
dad_transformer,32,36,100.0,0.830990405268191,6.789319274926352,3.2,7.620309680194543,389.5311484870036
dad_transformer,32,36,1000.0,0.830990405268191,6.789319274926352,32.0,7.620309680194543,1426.3311484870032
dad_transformer,32,36,10000.0,0.830990405268191,6.789319274926352,320.0,7.620309680194543,11794.331148487005
dad_transformer,64,36,100.0,0.8477401741055979,8.047056052511712,6.4,8.89479622661731,550.6126641582232
dad_transformer,64,36,1000.0,0.8477401741055979,8.047056052511712,64.0,8.89479622661731,2624.2126641582227
dad_transformer,64,36,10000.0,0.8477401741055979,8.047056052511712,640.0,8.89479622661731,23360.212664158225
dad_transformer,128,36,100.0,0.8782107917436708,8.958095099091427,12.8,9.836305890835098,814.9070120700635
dad_transformer,128,36,1000.0,0.8782107917436708,8.958095099091427,128.0,9.836305890835098,4962.107012070063
dad_transformer,128,36,10000.0,0.8782107917436708,8.958095099091427,1280.0,9.836305890835098,46434.10701207006
dad_transformer,256,36,100.0,0.8697041967029993,9.733461074624211,25.6,10.60316527132721,1303.3139497677794
dad_transformer,256,36,1000.0,0.8697041967029993,9.733461074624211,256.0,10.60316527132721,9597.71394976778
dad_transformer,256,36,10000.0,0.8697041967029993,9.733461074624211,2560.0,10.60316527132721,92541.71394976779
dad_transformer,512,36,100.0,0.7449936844770693,10.149922763587286,51.2,10.894916448064356,2235.416992130317
dad_transformer,512,36,1000.0,0.7449936844770693,10.149922763587286,512.0,10.894916448064356,18824.216992130318
dad_transformer,512,36,10000.0,0.7449936844770693,10.149922763587286,5120.0,10.894916448064356,184712.21699213033
dad_transformer,32,36,100.0,0.7739420696006467,18.43492267703146,3.2,19.208864746632106,806.7191308787558
dad_transformer,32,36,1000.0,0.7739420696006467,18.43492267703146,32.0,19.208864746632106,1843.5191308787557
dad_transformer,32,36,10000.0,0.7739420696006467,18.43492267703146,320.0,19.208864746632106,12211.519130878756
dad_transformer,64,36,100.0,0.7793936813896937,19.092276374854716,6.4,19.871670056244408,945.7801220247987
dad_transformer,64,36,1000.0,0.7793936813896937,19.092276374854716,64.0,19.871670056244408,3019.3801220247988
dad_transformer,64,36,10000.0,0.7793936813896937,19.092276374854716,640.0,19.871670056244408,23755.3801220248
dad_transformer,128,36,100.0,0.9812273083228825,20.169174082030075,12.8,21.150401390352958,1222.2144500527065
dad_transformer,128,36,1000.0,0.9812273083228825,20.169174082030075,128.0,21.150401390352958,5369.414450052706
dad_transformer,128,36,10000.0,0.9812273083228825,20.169174082030075,1280.0,21.150401390352958,46841.4144500527
dad_transformer,256,36,100.0,0.7709182422918579,21.540031248979112,25.6,22.31094949127097,1724.794181685755
dad_transformer,256,36,1000.0,0.7709182422918579,21.540031248979112,256.0,22.31094949127097,10019.194181685756
dad_transformer,256,36,10000.0,0.7709182422918579,21.540031248979112,2560.0,22.31094949127097,92963.19418168576
dad_transformer,512,36,100.0,0.7677044845263784,23.548308260200752,51.2,24.316012744727132,2718.576458810177
dad_transformer,512,36,1000.0,0.7677044845263784,23.548308260200752,512.0,24.316012744727132,19307.376458810177
dad_transformer,512,36,10000.0,0.7677044845263784,23.548308260200752,5120.0,24.316012744727132,185195.37645881018
