method,shots,eval_seed,train_seed,checkpoint_path,checkpoint_config_hash,checkpoint_selection_metric,best_validation_mse,validation_task_bank_path,config_hash,device,hardware,train_wallclock_sec,reward_mode,behavior_clone_checkpoint,task_bank_path,policy_params,episodes,mse_mean,mse_mean_ci95_lo,mse_mean_ci95_hi,mse_median,mse_iqr,info_gain_mean,decision_ms_mean,decision_ms_p95,smc_update_ms_mean,smc_update_ms_p95,step_total_ms_mean,step_total_ms_p95,crlb_theta_mse_mean,mse_crlb_ratio_mean,per_seed_mse_mean
bald_2step_fast,32,777 778 779 780 781,,,,,,,5239cac07e6f,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 75, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 781, ""top_k"": 2}",1500.0,0.1846366667865465,0.17803778193372613,0.1910800383156476,0.1553591638803482,0.15489649027585983,17.09381277434031,67.61166417475194,115.69399393780623,0.27180164485428204,0.3555830725817941,68.31186390694455,116.40165764982036,,,777:0.18879957;778:0.17461656;779:0.18005625;780:0.16978204;781:0.20992892
bald_2step_fast,64,777 778 779 780 781,,,,,,,53b125241a93,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 75, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 781, ""top_k"": 2}",1500.0,0.18774403738727172,0.18152966844482968,0.19436075189428714,0.16008996963500977,0.16281232237815857,19.964359052975972,71.66698286291299,116.01558401990526,0.28015849958561984,0.35947881010361016,72.37958468219773,116.73915274338408,,,777:0.19608692;778:0.1814314;779:0.18077999;780:0.18280775;781:0.19761413
bald_2step_fast,128,777 778 779 780 781,,,,,,,5a358a9e9a0e,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 75, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 781, ""top_k"": 2}",1500.0,0.1913609656059804,0.18463392672436701,0.19838290623530436,0.15933676809072495,0.1790490262210369,23.627399397850038,92.93108783935682,149.10520187152238,0.4395977641537751,0.7011511873958322,94.13925712919985,150.40794006781653,,,777:0.19284111;778:0.18045355;779:0.19573422;780:0.19256818;781:0.19520776
bald_2step_fast,256,777 778 779 780 781,,,,,,,106951462407,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 75, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 781, ""top_k"": 2}",1500.0,0.19796469406240308,0.19063881638193658,0.2055234179856566,0.16237352788448334,0.19406399875879288,27.743748539288838,81.96974040306587,114.41650920502919,0.3226687452341947,0.397635114689668,82.8123792575875,115.27180405387965,,,777:0.19945574;778:0.18191344;779:0.20970145;780:0.18714161;781:0.21161122
bald_2step_fast,512,777 778 779 780 781,,,,,,,93025d64408b,cpu,cpu:x86_64,,,,runs/ood_wide/task_bank.npz,"{""depth"": 2, ""future_max_actions"": 2, ""max_actions"": 3, ""n_actions"": 75, ""name"": ""bald_nstep"", ""predictive_samples"": 1, ""seed"": 781, ""top_k"": 2}",1500.0,0.19815867083139407,0.19069793588696435,0.20608576258941322,0.1603642925620079,0.20170375518500805,31.895035142580667,90.29794295731915,115.266948996461,0.34221234717794385,0.4107839750746886,91.17345143100721,116.15958727768157,,,777:0.20288941;778:0.18884629;779:0.20813683;780:0.20589518;781:0.18502564
symqnet,32,777 778 779 780 781,777,runs/main_result/symqnet_seed_777/best_agent.pt,9679e608f165,heldout_validation_mse,0.051880874612834305,runs/main_result/validation_task_bank.npz,d775bf109857,cpu,cpu:x86_64,10847.039726390038,info_gain,,runs/ood_wide/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.24233665901670853,0.23724578933957963,0.24752361427787692,0.22965725511312485,0.13732483237981796,6.957540157318115,1.5322636341206142,1.5942206835995119,9.825129483451342,37.890840552009955,11.882505006208604,39.97267133552426,,,777:0.24024013;778:0.24450587;779:0.24637465;780:0.23862035;781:0.24194229
symqnet,64,777 778 779 780 781,777,runs/main_result/symqnet_seed_777/best_agent.pt,9679e608f165,heldout_validation_mse,0.051880874612834305,runs/main_result/validation_task_bank.npz,c034fef03a36,cpu,cpu:x86_64,10847.039726390038,info_gain,,runs/ood_wide/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.2512293071349462,0.2458470697341487,0.25670538987678787,0.2394276037812233,0.1408451609313488,7.947492447535197,1.536815877893888,1.5980795960252483,10.528760825135071,38.255453418474644,12.598307210106952,40.34994839971963,,,777:0.25560848;778:0.24696398;779:0.24322201;780:0.25008864;781:0.26026343
symqnet,128,777 778 779 780 781,777,runs/main_result/symqnet_seed_777/best_agent.pt,9679e608f165,heldout_validation_mse,0.051880874612834305,runs/main_result/validation_task_bank.npz,1daf8efb0148,cpu,cpu:x86_64,10847.039726390038,info_gain,,runs/ood_wide/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.25857592512667177,0.252642001134033,0.2646450176357602,0.2501298636198044,0.14652059599757195,9.014334957758585,2.638057661833483,3.4604369727700637,13.235256031162054,44.48106661291482,16.892681025792157,48.529037554049864,,,777:0.26581007;778:0.24778645;779:0.2546898;780:0.25971013;781:0.26488318
symqnet,256,777 778 779 780 781,777,runs/main_result/symqnet_seed_777/best_agent.pt,9679e608f165,heldout_validation_mse,0.051880874612834305,runs/main_result/validation_task_bank.npz,3b023f52ac67,cpu,cpu:x86_64,10847.039726390038,info_gain,,runs/ood_wide/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.26559329372768603,0.25992017982661103,0.27158126663519067,0.251230925321579,0.15486041083931923,10.554524006207783,2.540630180000638,3.34333475161111,14.856537982961594,43.30870527830363,18.38230884299372,47.317405785492156,,,777:0.27129155;778:0.26533918;779:0.267736;780:0.25778439;781:0.26581535
symqnet,512,777 778 779 780 781,777,runs/main_result/symqnet_seed_777/best_agent.pt,9679e608f165,heldout_validation_mse,0.051880874612834305,runs/main_result/validation_task_bank.npz,46f65abb9621,cpu,cpu:x86_64,10847.039726390038,info_gain,,runs/ood_wide/task_bank.npz,"{""action_selection"": ""argmax"", ""belief_mode"": ""both"", ""graph"": ""chain"", ""name"": ""symqnet"", ""temporal"": ""transformer"", ""use_smc_feedback"": true, ""use_vae"": true}",1500.0,0.28006686053673424,0.2734527895853544,0.28674693541383994,0.2621985971927643,0.16408581286668777,12.313191208839417,1.5433798830167182,1.7259946595489357,15.563097956603292,37.66283483898345,17.639342593994957,39.80676417570794,,,777:0.27778863;778:0.2775835;779:0.29260516;780:0.26196954;781:0.29038748
